,NrMovimento,Budget/cons,CodiceMP,NrArticolo,NrDocumento,QuantityMPImpiegata,ImportoCostoTOTALE
268,57119,CONSUNTIVO,ART0005242,ART0000748,ODP19-01732,60.0,102.0
269,57120,CONSUNTIVO,ART0005243,ART0000748,ODP19-01732,30.0,3.36
270,57121,CONSUNTIVO,ART0005677,ART0000748,ODP19-01732,30.0,7.56
271,57550,CONSUNTIVO,ART0001868,ART0000748,ODP19-01984,20.0,496.92
272,57551,CONSUNTIVO,ART0001756,ART0000748,ODP19-01984,20.0,306.45
273,57552,CONSUNTIVO,ART0005432,ART0000748,ODP19-01984,20.0,77.0
274,57553,CONSUNTIVO,ART0005433,ART0000748,ODP19-01984,20.0,22.0
275,57554,CONSUNTIVO,ART0005242,ART0000748,ODP19-01984,40.0,68.0
276,57555,CONSUNTIVO,ART0005243,ART0000748,ODP19-01984,20.0,2.24
277,57556,CONSUNTIVO,ART0005677,ART0000748,ODP19-01984,20.0,5.04
278,57558,CONSUNTIVO,ART0001868,ART0000748,ODP19-02316,10.0,300.27
279,57559,CONSUNTIVO,ART0001756,ART0000748,ODP19-02316,10.0,153.23
280,57560,CONSUNTIVO,ART0005432,ART0000748,ODP19-02316,10.0,38.5
281,57561,CONSUNTIVO,ART0005433,ART0000748,ODP19-02316,10.0,11.0
282,57562,CONSUNTIVO,ART0005242,ART0000748,ODP19-02316,20.0,34.0
283,57563,CONSUNTIVO,ART0005243,ART0000748,ODP19-02316,10.0,1.12
284,57564,CONSUNTIVO,ART0005677,ART0000748,ODP19-02316,10.0,2.52
285,58433,CONSUNTIVO,ART0001868,ART0000748,ODP19-02215,20.0,600.54
286,58434,CONSUNTIVO,ART0001756,ART0000748,ODP19-02215,20.0,389.43
287,58435,CONSUNTIVO,ART0005432,ART0000748,ODP19-02215,20.0,77.0
288,58436,CONSUNTIVO,ART0005433,ART0000748,ODP19-02215,20.0,22.0
289,58437,CONSUNTIVO,ART0005242,ART0000748,ODP19-02215,40.0,68.0
290,58438,CONSUNTIVO,ART0005243,ART0000748,ODP19-02215,20.0,2.24
291,58439,CONSUNTIVO,ART0005677,ART0000748,ODP19-02215,20.0,5.04
292,62670,CONSUNTIVO,ART0001868,ART0000748,ODP19-04239,50.0,1563.56
293,62671,CONSUNTIVO,ART0001756,ART0000748,ODP19-04239,50.0,1143.33
294,62672,CONSUNTIVO,ART0005432,ART0000748,ODP19-04239,50.0,192.5
295,62673,CONSUNTIVO,ART0005433,ART0000748,ODP19-04239,50.0,55.0
296,62674,CONSUNTIVO,ART0005242,ART0000748,ODP19-04239,100.0,170.0
297,62675,CONSUNTIVO,ART0005243,ART0000748,ODP19-04239,50.0,5.6
298,62676,CONSUNTIVO,ART0005677,ART0000748,ODP19-04239,50.0,12.6
299,64720,CONSUNTIVO,ART0001868,ART0000748,ODP19-05716,50.0,1621.85
300,64721,CONSUNTIVO,ART0001756,ART0000748,ODP19-05716,50.0,763.33
301,64722,CONSUNTIVO,ART0005432,ART0000748,ODP19-05716,50.0,192.5
302,64723,CONSUNTIVO,ART0005433,ART0000748,ODP19-05716,50.0,55.0
303,64724,CONSUNTIVO,ART0005242,ART0000748,ODP19-05716,100.0,170.0
304,64725,CONSUNTIVO,ART0005243,ART0000748,ODP19-05716,50.0,5.6
305,64726,CONSUNTIVO,ART0005677,ART0000748,ODP19-05716,50.0,12.6
306,65741,CONSUNTIVO,ART0001868,ART0000748,ODP19-06178,50.0,1155.75
307,65742,CONSUNTIVO,ART0001756,ART0000748,ODP19-06178,50.0,869.73
308,65743,CONSUNTIVO,ART0005432,ART0000748,ODP19-06178,50.0,192.5
309,65744,CONSUNTIVO,ART0005433,ART0000748,ODP19-06178,50.0,55.0
310,65745,CONSUNTIVO,ART0005242,ART0000748,ODP19-06178,100.0,170.0
311,65746,CONSUNTIVO,ART0005243,ART0000748,ODP19-06178,50.0,5.6
312,65747,CONSUNTIVO,ART0005677,ART0000748,ODP19-06178,50.0,12.6
313,32324,BUDGET,ART0001900,ART0000749,ODP17-09769,2.0,376.41
314,32325,BUDGET,ART0001789,ART0000749,ODP17-09769,2.0,491.17
315,32326,BUDGET,ART0005830,ART0000749,ODP17-09769,4.0,0.0
316,32327,BUDGET,ART0005242,ART0000749,ODP17-09769,12.0,15.36
317,32328,BUDGET,ART0005243,ART0000749,ODP17-09769,4.0,0.45
318,44631,CONSUNTIVO,ART0001900,ART0000749,ODP18-05234,1.0,131.89
319,44632,CONSUNTIVO,ART0001789,ART0000749,ODP18-05234,1.0,249.13
320,44633,CONSUNTIVO,ART0005830,ART0000749,ODP18-05234,2.0,0.0
321,44634,CONSUNTIVO,ART0005242,ART0000749,ODP18-05234,6.0,8.38
322,44635,CONSUNTIVO,ART0005243,ART0000749,ODP18-05234,2.0,0.22
